user_id,age,gender,location,interests,ad_id,ad_category,ad_platform,ad_type,impressions,clicks,conversion,time_spent_on_ad,day_of_week,device_type,engagement_score
1,45-54,Male,Texas,Food,38,Food,Instagram,Video,3336,371,28,1.863067273782867,Wednesday,Desktop,6.561384038616682
2,55+,Male,Texas,Travel,39,Sports,Instagram,Text,2452,17,9,13.22729568636382,Thursday,Desktop,4.076625569482829
3,35-44,Female,New York,Sports,26,Fashion,Twitter,Image,2032,487,16,43.080916216916876,Sunday,Mobile,8.864874599689166
4,55+,Male,Texas,Travel,46,Electronics,Twitter,Text,8656,361,1,23.81059018539622,Sunday,Tablet,1.116165051828928
5,55+,Male,Florida,Technology,50,Fashion,Facebook,Video,5016,493,5,40.08655286955488,Thursday,Desktop,3.040215868674313
6,25-34,Male,Florida,Travel,15,Travel,Facebook,Video,5598,103,4,21.47079692433895,Wednesday,Tablet,6.102035166245824
7,35-44,Female,New York,Sports,34,Electronics,Twitter,Image,1046,330,27,24.05455398744859,Tuesday,Mobile,4.163880340447282
8,35-44,Female,Texas,Technology,42,Food,Facebook,Image,9669,436,40,10.36205354769141,Friday,Desktop,6.4933974578649485
9,35-44,Male,Texas,Travel,44,Sports,Google,Text,1539,48,4,16.235630160303444,Thursday,Desktop,1.2169917406780013
10,55+,Female,Texas,Food,49,Fashion,Google,Image,7830,90,17,36.719293692947645,Wednesday,Mobile,2.048130374335413
11,45-54,Male,Illinois,Technology,40,Electronics,Twitter,Image,4957,196,25,26.556623567594816,Saturday,Desktop,2.143866161965953
12,35-44,Male,California,Technology,11,Travel,Facebook,Video,440,93,19,46.68385829373111,Sunday,Mobile,2.7035528132440847
13,55+,Female,Illinois,Food,3,Electronics,Instagram,Image,482,97,40,51.302512341362224,Wednesday,Desktop,5.133982967204885
14,25-34,Male,California,Fashion,6,Travel,Google,Image,9848,251,48,32.95713867478883,Tuesday,Mobile,7.769158295892141
15,45-54,Female,Texas,Sports,9,Food,Twitter,Video,8591,351,26,45.737770231307486,Tuesday,Desktop,9.14984954136011
16,25-34,Female,Texas,Fashion,6,Sports,Facebook,Video,238,102,48,19.10736627847963,Monday,Tablet,8.518352772558215
17,45-54,Male,Illinois,Travel,9,Food,Twitter,Text,458,95,11,25.483301708604614,Thursday,Tablet,2.771990845981152
18,55+,Male,Illinois,Food,39,Fashion,Instagram,Image,5031,53,6,43.05388289679303,Monday,Tablet,4.970354970075691
19,18-24,Female,California,Fashion,31,Electronics,Google,Video,9814,146,2,23.78650757620481,Sunday,Desktop,2.794704379826815
20,45-54,Male,Florida,Technology,32,Travel,Twitter,Text,3556,430,9,35.72179117438034,Wednesday,Desktop,3.380246350004717
21,25-34,Male,California,Travel,41,Travel,Twitter,Text,1727,83,33,11.936993965868178,Friday,Tablet,5.531922833606975
22,55+,Male,Illinois,Travel,50,Electronics,Twitter,Image,9595,45,24,36.38650758325938,Friday,Tablet,1.6129812225117028
23,45-54,Female,Illinois,Fashion,12,Electronics,Instagram,Image,6726,110,34,51.82930872638672,Tuesday,Mobile,2.9635689663394587
24,18-24,Female,New York,Fashion,8,Fashion,Twitter,Text,5104,485,15,52.249738749582114,Friday,Mobile,9.418403451764055
25,18-24,Male,Illinois,Food,8,Food,Instagram,Video,9426,165,1,43.73631997344284,Friday,Mobile,5.195046633926401
26,35-44,Female,New York,Sports,50,Travel,Instagram,Text,6752,435,23,44.99944936549144,Sunday,Tablet,5.00847873380085
27,35-44,Female,Florida,Fashion,28,Fashion,Instagram,Image,6516,264,9,33.91771926389134,Friday,Tablet,1.13110439276151
28,25-34,Female,California,Fashion,20,Food,Google,Video,3270,180,37,35.49541731978366,Wednesday,Tablet,3.2265977235251118
29,45-54,Female,California,Technology,47,Fashion,Google,Video,3935,478,21,8.885384303220562,Friday,Mobile,8.796631923839632
30,45-54,Female,New York,Travel,7,Travel,Twitter,Text,8117,225,25,27.187692116856766,Saturday,Desktop,2.481655854328019
31,35-44,Male,California,Sports,11,Electronics,Twitter,Image,2251,179,42,27.595800749295464,Friday,Tablet,4.73612445581249
32,45-54,Male,Illinois,Technology,20,Electronics,Google,Text,9529,261,38,57.55137230439667,Friday,Desktop,1.1289781528030112
33,45-54,Male,Texas,Food,16,Food,Facebook,Text,7005,369,26,26.434124894774076,Monday,Desktop,5.305019335035002
34,18-24,Female,New York,Food,4,Sports,Google,Text,2934,331,28,33.4112160492627,Wednesday,Desktop,1.1891899605359544
35,35-44,Female,California,Fashion,6,Food,Instagram,Video,9290,64,46,32.46183255746705,Tuesday,Mobile,8.3764859775922
36,55+,Male,New York,Fashion,22,Sports,Google,Video,2667,465,37,38.568941305615304,Monday,Desktop,8.423683907383932
37,35-44,Female,New York,Food,26,Fashion,Instagram,Image,1407,441,19,45.14573704858186,Thursday,Tablet,8.08967969472133
38,55+,Male,Texas,Fashion,3,Fashion,Twitter,Image,8948,100,26,14.277470694081455,Wednesday,Mobile,3.550276620020064
39,18-24,Male,Illinois,Sports,41,Travel,Facebook,Text,2760,287,40,32.19474072680771,Saturday,Tablet,8.535134963996363
40,25-34,Male,New York,Fashion,42,Sports,Twitter,Text,3830,110,19,49.729144731645796,Wednesday,Tablet,5.886983193447424
41,45-54,Female,California,Travel,14,Travel,Instagram,Text,6307,164,43,28.323768116413177,Thursday,Mobile,4.364272979803022
42,18-24,Female,Florida,Fashion,11,Electronics,Instagram,Image,3262,386,18,17.42899523604081,Thursday,Tablet,6.627969637338097
43,45-54,Male,New York,Technology,18,Sports,Instagram,Video,1240,358,19,39.62783544602164,Thursday,Tablet,1.111069414543366
44,25-34,Male,New York,Sports,12,Food,Facebook,Video,8558,460,34,49.60227635214825,Sunday,Mobile,2.2866478984067693
